horodatage_local,poste,jour,heure,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh
2022-01-01 05:00:00+00:00,A,1,0,1,7,-1.200000048,92,0.5,0.0,0.0,0.0,1.0,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,60.93166421
2022-01-01 06:00:00+00:00,A,1,1,1,7,-1.299999952,93,1.0,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,59.11700792
2022-01-01 07:00:00+00:00,C,1,2,1,7,-1.200000048,93,1.0,0.0,0.0,0.5,0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,142.9116645
2022-01-01 08:00:00+00:00,A,1,3,1,7,-1.200000048,94,1.0,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,52.32365675
2022-01-01 11:00:00+00:00,A,1,6,1,7,-1.0,97,1.5,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,78.3511662
2022-01-01 12:00:00+00:00,C,1,7,1,7,-0.600000024,98,1.0,0.0,0.0,0.965925826,-0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,195.7211405
2022-01-01 15:00:00+00:00,C,1,10,1,7,-0.200000003,99,1.5,0.0,72.23000336,0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,187.3483006
2022-01-01 16:00:00+00:00,C,1,11,1,7,0.0,98,2.099999905,0.0,80.45999908,0.258819045,-0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,196.0571559
2022-01-01 17:00:00+00:00,C,1,12,1,7,0.400000006,97,1.0,0.0,82.90000153,1.22e-16,-1.0,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,208.2608376
2022-01-01 19:00:00+00:00,C,1,14,1,7,0.899999976,96,1.0,2.0,71.23000336,-0.5,-0.866025404,0.5,0.866025404,-2.45e-16,1.0,1,1,35,220,0,196.367204
2022-01-01 22:00:00+00:00,A,1,17,1,7,0.800000012,97,0.5,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,105.8782445
2022-01-01 23:00:00+00:00,A,1,18,1,7,0.600000024,97,0.5,0.0,0.0,-1.0,-1.84e-16,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,99.37768872
2022-01-02 04:00:00+00:00,A,1,23,1,7,-1.299999952,68,4.099999905,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-2.45e-16,1.0,1,1,17,118,0,64.41341667
