,horodatage_local,poste,heure,jour,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh,energie_lag1,energie_lag24,degre_jour_chauffage,degre_jour_clim,indice_temp_cons,indice_temp_client,facteur_eolien
0,2024-02-01 01:00:00+00:00,C,20,31,1,4,0.100000001,87,1.409999967,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,657,0,346.1940942,0.0,0.0,17.899999999,0.0,1281.6399998567997,133290.55998510716,1807.1123575039676
1,2024-02-01 02:00:00+00:00,C,21,31,1,4,0.300000012,84,1.480000019,0.0,0.0,-0.707106781,0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,657,0,309.1542851,346.1940942,346.1940942,17.699999988,0.0,1253.1599983007998,130328.63982328317,1854.6768212952236
2,2024-02-01 03:00:00+00:00,C,22,31,1,4,0.0,87,2.349999905,0.0,0.0,-0.5,0.866025404,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,657,0,266.4339722,309.1542851,327.67418965,18.0,0.0,1296.0,134784.0,3045.5998768799996
3,2024-02-01 04:00:00+00:00,C,23,31,1,4,0.600000024,89,2.660000086,0.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,657,0,198.2267324,266.4339722,307.5974372679621,17.399999976,0.0,1211.0399966592,125948.15965255679,3221.3664952629115
5,2024-02-01 05:00:00+00:00,C,0,1,2,5,0.699999988,87,2.619999886,0.0,0.0,0.0,1.0,0.866025404,0.5,-0.974927912,-0.222520934,0,0,104,658,0,174.9306244,198.2267324,281.9106423344011,17.300000012,0.0,1197.1600016608002,124504.64017272322,3136.5590678750564
4,2024-02-01 05:00:00+00:00,B,0,1,2,5,0.699999988,87,2.619999886,0.0,0.0,0.0,1.0,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,89.57843184,0.0,0.0,17.300000012,0.0,1197.1600016608002,45492.08006311041,3136.5590678750564
6,2024-02-01 08:00:00+00:00,B,3,1,2,5,1.100000024,92,3.119999886,0.0,0.0,0.707106781,0.707106781,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,90.47996524,89.57843184,89.57843184,16.899999976,0.0,1142.4399967552001,43412.71987669761,3564.4126596380647
7,2024-02-01 12:00:00+00:00,B,7,1,2,5,1.5,92,4.21999979,0.0,0.0,0.965925826,-0.258819045,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,113.5984909,90.47996524,90.02919854,16.5,0.0,1089.0,41382.0,4595.57977131
9,2024-02-01 14:00:00+00:00,B,9,1,2,5,1.299999952,93,3.24000001,0.0,107.0,0.707106781,-0.707106781,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,102.1345321,113.5984909,96.5689456283915,16.700000048,0.0,1115.5600064128,42391.2802436864,3614.414431933072
8,2024-02-01 14:00:00+00:00,C,9,1,2,5,1.299999952,93,3.24000001,0.0,107.0,0.707106781,-0.707106781,0.866025404,0.5,-0.974927912,-0.222520934,0,0,104,658,0,285.6137101,174.9306244,259.72664771826345,16.700000048,0.0,1115.5600064128,116018.2406669312,3614.414431933072
10,2024-02-01 16:00:00+00:00,C,11,1,2,5,1.600000024,94,3.609999895,0.0,132.0,0.258819045,-0.965925826,0.866025404,0.5,-0.974927912,-0.222520934,0,0,104,658,0,265.4815377,285.6137101,250.88560518556952,16.399999976,0.0,1075.8399968512,111887.3596725248,3883.782275669633
11,2024-02-01 17:00:00+00:00,B,12,1,2,5,1.399999976,97,2.849999905,0.0,96.0,1.22e-16,-1.0,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,99.20407577,102.1345321,99.70498997239687,16.600000024,0.0,1102.2400031872,41885.1201211136,3141.3839043707194
12,2024-02-01 19:00:00+00:00,C,14,1,2,5,1.5,95,2.930000067,0.0,131.0,-0.5,-0.866025404,0.866025404,0.5,-0.974927912,-0.222520934,0,0,104,658,0,242.7953158,265.4815377,241.88353896704643,16.5,0.0,1089.0,113256.0,3190.770072963
13,2024-02-01 20:00:00+00:00,B,15,1,2,5,1.600000024,98,2.450000048,0.0,111.0,-0.707106781,-0.707106781,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,96.49671689,99.20407577,101.69297275722312,16.399999976,0.0,1075.8399968512,40881.9198803456,2635.80804392576
14,2024-02-02 01:00:00+00:00,B,20,1,2,5,1.0,98,1.75,0.0,0.0,-0.866025404,0.5,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,140.6562204,96.49671689,101.10245867428313,17.0,0.0,1156.0,43928.0,2023.0
15,2024-02-02 02:00:00+00:00,B,21,1,2,5,0.899999976,97,1.690000057,0.0,0.0,-0.707106781,0.707106781,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,125.841899,140.6562204,103.49179736016661,17.100000024,0.0,1169.6400032832,44446.3201247616,1976.6916722180883
16,2024-02-02 03:00:00+00:00,C,22,1,2,5,0.800000012,97,0.709999979,0.0,0.0,-0.5,0.866025404,0.866025404,0.5,-0.974927912,-0.222520934,0,0,104,658,0,207.9086148,242.7953158,239.08758968363927,17.199999988,0.0,1183.3599983487998,123069.43982827518,840.1855739770879
17,2024-02-02 03:00:00+00:00,B,22,1,2,5,0.800000012,97,0.709999979,0.0,0.0,-0.5,0.866025404,0.866025404,0.5,-0.974927912,-0.222520934,0,0,38,256,0,100.110316,125.841899,105.0867701426378,17.199999988,0.0,1183.3599983487998,44967.67993725439,840.1855739770879
18,2024-02-02 07:00:00+00:00,C,2,2,2,6,0.200000003,98,2.930000067,0.0,0.0,0.5,0.866025404,0.866025404,0.5,-0.781831482,0.623489802,0,0,104,658,0,155.9193022,207.9086148,235.21011023386265,17.799999997,0.0,1267.3599995728,131805.4399555712,3713.364883661424
