,horodatage_local,poste,jour,heure,mois,jour_semaine,temperature_ext,humidite,vitesse_vent,neige,irradiance_solaire,heure_sin,heure_cos,mois_sin,mois_cos,jour_semaine_sin,jour_semaine_cos,est_weekend,est_ferie,clients_connectes,tstats_intelligents_connectes,evenement_pointe,energie_kwh,energie_lag1,energie_lag24,degre_jour_chauffage,degre_jour_clim,indice_temp_cons,indice_temp_client,facteur_eolien
474,2024-01-24 22:00:00+00:00,B,24,17,1,4,-8.300000191,95,2.630000114,0.0,0.0,-0.965925826,-0.258819045,0.5,0.866025404,-0.433883739,-0.900968868,0,0,38,256,0,173.8334107,0.0,0.0,26.300000191000002,0.0,2766.7600401864006,105136.88152708323,7276.579221100878
1656,2024-01-25 01:00:00+00:00,C,24,20,1,4,-7.400000095,96,2.619999886,0.0,0.0,-0.866025404,0.5,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,656,0,446.3707445,0.0,0.0,25.400000095,0.0,2580.640019304,268386.562007616,6761.276556383517
1657,2024-01-25 02:00:00+00:00,C,24,21,1,4,-7.099999905,96,2.99000001,12.5,0.0,-0.707106781,0.707106781,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,656,0,403.6448845,446.3707445,446.3707445,25.099999905,0.0,2520.0399809240002,262084.15801609601,7534.919568163161
1658,2024-01-25 04:00:00+00:00,C,24,23,1,4,-5.900000095,96,2.599999905,50.0,0.0,-0.258819045,0.965925826,0.5,0.866025404,-0.433883739,-0.900968868,0,0,104,656,0,280.8162982,403.6448845,425.0078145,23.900000095,0.0,2284.840018164,237623.361889056,5940.583830166598
1659,2024-01-25 06:00:00+00:00,C,25,1,1,5,-5.099999905,97,2.25,0.0,0.0,0.258819045,0.965925826,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,245.3358977,280.8162982,381.691240919922,23.099999905,0.0,2134.439982444,221981.758174176,4802.4899604990005
1660,2024-01-25 08:00:00+00:00,C,25,3,1,5,-4.300000191,97,1.389999986,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,235.7830285,245.3358977,343.5983191626899,22.300000191,0.0,1989.1600340743998,206872.6435437376,2764.9324195151753
475,2024-01-25 08:00:00+00:00,B,25,3,1,5,-4.300000191,97,1.389999986,0.0,0.0,0.707106781,0.707106781,0.5,0.866025404,-0.974927912,-0.222520934,0,0,37,252,0,124.1299693,173.8334107,173.8334107,22.300000191,0.0,1989.1600340743998,73598.92126075279,2764.9324195151753
1661,2024-01-25 09:00:00+00:00,C,25,4,1,5,-4.199999809,96,1.919999957,0.0,0.0,0.866025404,0.5,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,235.7588672,235.7830285,313.81818003618525,22.199999809,0.0,1971.3599660784005,205021.43647215364,3785.0110501020504
1662,2024-01-25 11:00:00+00:00,C,25,6,1,5,-4.099999905,96,0.649999976,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,-0.974927912,-0.222520934,0,0,104,656,0,364.2161389,235.7588672,295.00616149796735,22.099999905,0.0,1953.6399832040001,203178.558253216,1269.8659421952407
476,2024-01-25 11:00:00+00:00,B,25,6,1,5,-4.099999905,96,0.649999976,0.0,0.0,1.0,6.12e-17,0.5,0.866025404,-0.974927912,-0.222520934,0,0,37,252,0,133.613133,124.1299693,148.98169000000001,22.099999905,0.0,1953.6399832040001,72284.67937854801,1269.8659421952407
